City Distance
25 ,8 ,23 ,16 ,16 ,14 ,9 ,7 ,12 ,16 ,9 ,5 ,9 ,99 ,14 ,24 ,20 ,15 ,7 ,7 ,City 14
24 ,5 ,22 ,21 ,13 ,19 ,6 ,10 ,9 ,21 ,17 ,15 ,22 ,14 ,99 ,14 ,18 ,22 ,23 ,14 ,City 15
14 ,19 ,9 ,9 ,18 ,20 ,12 ,24 ,15 ,7 ,22 ,9 ,14 ,24 ,14 ,99 ,16 ,11 ,14 ,9 ,City 16
24 ,18 ,18 ,19 ,18 ,20 ,15 ,10 ,9 ,22 ,12 ,25 ,22 ,20 ,18 ,16 ,99 ,19 ,19 ,8 ,City 17
15 ,13 ,19 ,21 ,12 ,7 ,12 ,24 ,21 ,9 ,19 ,10 ,23 ,15 ,22 ,11 ,19 ,99 ,5 ,18 ,City 18
15 ,5 ,19 ,13 ,11 ,23 ,21 ,7 ,13 ,24 ,23 ,13 ,17 ,7 ,23 ,14 ,19 ,5 ,99 ,9 ,City 19
19 ,23 ,13 ,8 ,16 ,10 ,18 ,23 ,25 ,19 ,25 ,9 ,12 ,7 ,14 ,9 ,8 ,18 ,9 ,99 ,City 20
Shortest path
Root
 1, 14,  6, 11,  9,  7, 15,  2, 19, 18, 10, 16,  3, 20,  4,  5, 12, 13,  8, 17,  1
Total,   204

Time,    0.045

City Distance
99 ,19 ,17 ,22 ,22 ,22 ,23 ,16 ,18 ,12 ,24 ,20 ,6 ,9 ,22 ,9 ,8 ,8 ,16 ,23 ,City 1
19 ,99 ,24 ,23 ,7 ,15 ,8 ,8 ,7 ,14 ,5 ,16 ,23 ,6 ,16 ,19 ,5 ,19 ,25 ,21 ,City 2
17 ,24 ,99 ,14 ,21 ,9 ,24 ,10 ,13 ,9 ,24 ,16 ,11 ,17 ,25 ,25 ,15 ,23 ,12 ,21 ,City 3
22 ,23 ,14 ,99 ,25 ,15 ,20 ,14 ,6 ,9 ,20 ,6 ,10 ,20 ,14 ,18 ,10 ,16 ,8 ,5 ,City 4
22 ,7 ,21 ,25 ,99 ,23 ,15 ,19 ,18 ,13 ,12 ,16 ,6 ,19 ,5 ,13 ,18 ,13 ,10 ,10 ,City 5
22 ,15 ,9 ,15 ,23 ,99 ,6 ,18 ,6 ,25 ,11 ,9 ,20 ,10 ,19 
